
2025/03/17 (10:53:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/17 (10:56:00) | INFO: Quitting! Runtime: 00:02:15

2025/03/17 (16:12:07) | ===> btop++ v.1.4.0
2025/03/17 (16:12:07) | INFO: Logger set to INFO
2025/03/17 (16:12:07) | INFO: Running on /dev/pts/0
2025/03/17 (16:12:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/17 (16:12:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/17 (16:17:14) | INFO: Quitting! Runtime: 00:05:07

2025/03/17 (18:25:06) | ===> btop++ v.1.4.0
2025/03/17 (18:25:06) | INFO: Logger set to INFO
2025/03/17 (18:25:06) | INFO: Running on /dev/pts/0
2025/03/17 (18:25:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/17 (18:25:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/17 (18:27:58) | INFO: Quitting! Runtime: 00:02:52

2025/03/18 (00:09:04) | ===> btop++ v.1.4.0
2025/03/18 (00:09:04) | INFO: Logger set to INFO
2025/03/18 (00:09:04) | INFO: Running on /dev/pts/0
2025/03/18 (00:09:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/18 (00:09:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/18 (00:09:05) | INFO: Quitting! Runtime: 00:00:01

2025/03/18 (19:56:51) | ===> btop++ v.1.4.0
2025/03/18 (19:56:51) | INFO: Logger set to INFO
2025/03/18 (19:56:51) | INFO: Running on /dev/pts/0
2025/03/18 (19:56:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/18 (19:56:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/18 (19:59:47) | INFO: Quitting! Runtime: 00:02:56

2025/03/19 (16:16:54) | ===> btop++ v.1.4.0
2025/03/19 (16:16:54) | INFO: Logger set to INFO
2025/03/19 (16:16:54) | INFO: Running on /dev/pts/0
2025/03/19 (16:16:54) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/19 (16:16:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/19 (16:18:34) | INFO: Quitting! Runtime: 00:01:40

2025/03/19 (17:58:11) | ===> btop++ v.1.4.0
2025/03/19 (17:58:11) | INFO: Logger set to INFO
2025/03/19 (17:58:11) | INFO: Running on /dev/pts/1
2025/03/19 (17:58:11) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/19 (17:58:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/19 (17:58:13) | INFO: Quitting! Runtime: 00:00:02

2025/03/19 (17:58:14) | ===> btop++ v.1.4.0
2025/03/19 (17:58:14) | INFO: Logger set to INFO
2025/03/19 (17:58:14) | INFO: Running on /dev/pts/1
2025/03/19 (17:58:14) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/19 (17:58:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/19 (17:58:15) | INFO: Quitting! Runtime: 00:00:01

2025/03/19 (17:59:13) | ===> btop++ v.1.4.0
2025/03/19 (17:59:13) | INFO: Logger set to INFO
2025/03/19 (17:59:13) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2025/03/19 (17:59:13) | INFO: Quitting! Runtime: 00:00:00

2025/03/19 (17:59:15) | ===> btop++ v.1.4.0
2025/03/19 (17:59:15) | INFO: Logger set to INFO
2025/03/19 (17:59:15) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2025/03/19 (17:59:15) | INFO: Quitting! Runtime: 00:00:00

2025/03/19 (17:59:19) | ===> btop++ v.1.4.0
2025/03/19 (17:59:19) | INFO: Logger set to INFO
2025/03/19 (17:59:19) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2025/03/19 (17:59:19) | INFO: Quitting! Runtime: 00:00:00

2025/03/19 (17:59:22) | ===> btop++ v.1.4.0
2025/03/19 (17:59:22) | INFO: Logger set to INFO
2025/03/19 (17:59:22) | INFO: Running on /dev/pts/1
2025/03/19 (17:59:22) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/19 (17:59:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/19 (17:59:24) | INFO: Quitting! Runtime: 00:00:02

2025/03/19 (17:59:26) | ===> btop++ v.1.4.0
2025/03/19 (17:59:26) | INFO: Logger set to INFO
2025/03/19 (17:59:26) | INFO: Running on /dev/pts/1
2025/03/19 (17:59:26) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/19 (17:59:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/19 (17:59:27) | INFO: Quitting! Runtime: 00:00:01

2025/03/20 (00:25:47) | ===> btop++ v.1.4.0
2025/03/20 (00:25:47) | INFO: Logger set to INFO
2025/03/20 (00:25:47) | INFO: Running on /dev/pts/6
2025/03/20 (00:25:47) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/20 (00:25:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/20 (00:25:49) | INFO: Quitting! Runtime: 00:00:02

2025/03/20 (12:13:40) | ===> btop++ v.1.4.0
2025/03/20 (12:13:40) | INFO: Logger set to INFO
2025/03/20 (12:13:40) | INFO: Running on /dev/pts/0
2025/03/20 (12:13:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/20 (12:13:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/20 (12:16:20) | INFO: Quitting! Runtime: 00:02:40

2025/03/22 (06:44:07) | ===> btop++ v.1.4.0
2025/03/22 (06:44:07) | INFO: Logger set to INFO
2025/03/22 (06:44:07) | INFO: Running on /dev/pts/1
2025/03/22 (06:44:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/22 (06:44:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/22 (06:44:10) | INFO: Quitting! Runtime: 00:00:03

2025/03/24 (19:44:32) | ===> btop++ v.1.4.0
2025/03/24 (19:44:32) | INFO: Logger set to INFO
2025/03/24 (19:44:32) | INFO: Running on /dev/pts/4
2025/03/24 (19:44:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
